text,label
THEME PARK STORE ASSISTANT,sales assistant
Trading Sales Executive,sales assistant
Digital Marketing - Online Sales,sales assistant
In-House Sales Executive,sales assistant
Sales Assistant (Dry & Wet Market),sales assistant
Shipping Admin Executive,sales assistant
Water Filter Sales Representative,sales assistant
Sales Designer / Interior Designer,sales assistant
Store Assistant-Melacca,sales assistant
PROMOTER - SHAMELIN MALL,sales assistant
Junior & Senior Commercial Officer,sales assistant
Senior Sales Coordinator,sales assistant
Sales Marketing Officer / Assistant,sales assistant
Sales Executive (JB),sales assistant
SALE & CUSTOMER SERVICE,sales assistant
Management Trainee (Online Sales),sales assistant
Retail Assistant @ Bangsar Shopping Centre,sales assistant
SALES ASSISTANT (LELAKI),sales assistant
Retail Team,sales assistant
Sales Executive- Boutique,sales assistant
Store and Production,sales assistant
Retail Assistant @ Gamuda Walk,sales assistant
Sale / Quality Control (Contract 4 months),sales assistant
Accounting Software Sales Person,sales assistant
Internship Sales Coordiantor,sales assistant
Sales Advisor (Native Thai Speaker),sales assistant
Sales Executive (Full time),sales assistant
Salesman,sales assistant
SALES ASSISTANT - USJ 19,sales assistant
PART TIMECSALES REP,sales assistant
SALE EXECUTIVES,sales assistant
Product Specialist (Medical),sales assistant
Online Sales Executive (Office Hour),sales assistant
Sales and Merchandiser,sales assistant
SALES  & MARKETING - KUALA LUMPUR,sales assistant
Tele-Sales Clerk,sales assistant
Retail Assistant (Up to RM2500),sales assistant
Sales Executive Bayan Lepas,sales assistant
Sales & Marketing Assistant (Property),sales assistant
APPAREL SUPERVISOR,sales assistant
SALE/ MACHINERY,sales assistant
Online Sales,sales assistant
SALES  & MARKETING - MERSING,sales assistant
Internship (Sales & Marketing),sales assistant
Retail Operation Executive,sales assistant
Sales Executives,sales assistant
Sales Executive / Assistant,sales assistant
Junior Consultant,sales assistant
Operators,sales assistant
Indoor Sales cum Customer Service,sales assistant
Freshmart Assistant ,sales assistant
LOGISTIC HANDLER ,sales assistant
RETAIL SHOP ASSISTANT,sales assistant
admin sales,sales assistant
SALES ASSISTANT - Parkson BU & Lamy The Curve ,sales assistant
INTERNSHIP FOR SALES & MARKETING,sales assistant
Assistant Branch Manager(Perak),sales assistant
Sales Consultant - Teluk Intan ,sales assistant
Pet Shop Retail Assistant @ 9 Avenue Nilai,sales assistant
GENERAL STAFF (JLN KUHARA WEST-TAWAU),sales assistant
Sales Assistant (Sungai Petani),sales assistant
SALES ASSISTENT,sales assistant
SALES GENERAL ASSISTANT,sales assistant
Sales Representative (IPOH),sales assistant
GALLARY EXECUTIVE,sales assistant
Station Service Crew,sales assistant
Sales Advisor (Native Tagalog Speaker),sales assistant
sales assistant ,sales assistant
Sales Consultant  - Puchong ,sales assistant
10,sales assistant
RETAIL FASHION ASSOCIATE-KUANTAN EAST COAST MALL PART TIME,sales assistant
SALE ASSISTANT,sales assistant
Retail Associate (Seremban),sales assistant
Sales & Admin Officer,sales assistant
Sales & Marketing Cum Admin Executive,sales assistant
SALES,sales assistant
"Contract Sales Assistant - Parkson Alamanda, Putrajaya",sales assistant
PROMOTER @ TROPICANA GARDEN,sales assistant
RETAIL CONSULTANT,sales assistant
Retail Sales Assistant  ,sales assistant
Sales Administrative,sales assistant
Retail/ Warehouse Assistant (Pembantu Jualan/ Stor),sales assistant
Samsung Retail Sales Assistant,sales assistant
Sales Associate #MAT,sales assistant
Salesmen,sales assistant
CUSTOMER ASSISTANT,sales assistant
RETAIL STAFF,sales assistant
Team Sales Wanted ,sales assistant
Virtual Partner Account Manager - Korean speaking,sales assistant
Outdoor Roving Supervisor,sales assistant
IT Sales Assistant - Aeon Bandar Utama,sales assistant
Game Master,sales assistant
Assistant Branch Manager(Selangor),sales assistant
Executive-Sales & Marketing,sales assistant
Sales Executive - Air freight ,sales assistant
RETAIL FASHION ASSOCIATE-PJ PARADIGM,sales assistant
"Unifi Agent, Unifi Executive, Unifi Supervisor",sales assistant
Online Sales Admin,sales assistant
RETAILS SALES ASSOCIATE,sales assistant
Online Order Process Personnel,sales assistant
Retail Assistant (Full Time) ,sales assistant
Product Dealer / Foot Soldiers,sales assistant
Sales and Admin Assistant,sales assistant
Retail Assistant @ The Starling Mall,sales assistant
General Staff Komai-so Shop AEON Taman Maluri,sales assistant
INHOUSE SALES CUM ADMINISTRATION,sales assistant
CSA Customer Service Attendance (Pump Attendance),sales assistant
SALES ASSISTANCE,sales assistant
SALES MARKETING ASSISTANT,sales assistant
"Sale Marketing,personal assistant",sales assistant
Marketing & Sales in the Hospitality Industry,sales assistant
General Staff ,sales assistant
Sales Assistant Cum General Worker,sales assistant
SENIOR SALE,sales assistant
Sales Assistant (Pemotong Ayam),sales assistant
Sales Executive,sales assistant
Samsung Sales Promoter,sales assistant
Sales Executive (Appraiser),sales assistant
Sales Promoter(Paradigm Mall),sales assistant
SALES ASSISTANT - Aeon Puchong & Aeon Sunway Pyramid  ,sales assistant
SENIOR SALES EXEC,sales assistant
RETAIL FASHION ASSOCIATE-HLA CONCEPT STORE IOI PUTRAJAYA..,sales assistant
Sales Advisor,sales assistant
SALES ASSISTANT - PLU,sales assistant
sale executive,sales assistant
Driver cum Sales Assistant,sales assistant
SALE OPERATION,sales assistant
RETAIL SALES ADVISOR- PCS PARADIGM MALL,sales assistant
Sales & Marketing Junior Executive ,sales assistant
Salesgirls,sales assistant
ACCESSORIES & PHONE SELLER,sales assistant
Sales assistant (Phone accessories),sales assistant
Shop Sales Assistant,sales assistant
Retail Associate (Kepong/Ampang),sales assistant
Medical Aesthetic Machine Sales Executive,sales assistant
SALE ADMINISTRATIVE ASSISTANT,sales assistant
Admin and Sales,sales assistant
SALE/RETAIL,sales assistant
Cashier (Johor),sales assistant
Internship for Project Executive,sales assistant
Sales Assistant - Gaya Street Outlet,sales assistant
Store Assistant,sales assistant
SALES COORDINATOR (ONLINE),sales assistant
Outdoor sales,sales assistant
Sales & Admin Assistant,sales assistant
Sales Associate Business Admin,sales assistant
RETAIL FASHION ASSOCIATE-IPOH PARADE,sales assistant
Showroom Sales Promoter,sales assistant
Store Collector ,sales assistant
Sales Consultant - Kuala Lumpur,sales assistant
SALES EXCUTIVE ,sales assistant
Senior Export Sales Executive,sales assistant
SALES COORDINATOR,sales assistant
Pembantu kedai hardware / Hardware retail assistant - OUG,sales assistant
OUTDOOR SALES PERSON,sales assistant
Retail,sales assistant
RETAIL FASHION ASSOCIATE-EICHITOO GENTING SKY AVENUE,sales assistant
Shop Assistant/Barista Assistant,sales assistant
Sales Representatives,sales assistant
Event Sales Specialist,sales assistant
SALES  & MARKETING - SELANGOR,sales assistant
Retail Assistant - Full Time,sales assistant
SALES ADVISOR - JOHOR AREA,sales assistant
ONLINE SALES CUSTOMER SERVICE,sales assistant
RETAIL PERSON,sales assistant
SALES  ADMIN,sales assistant
Retail Associate (F&B),sales assistant
Sales Executive (Shah Alam),sales assistant
Sales Assistant (DUBAI),sales assistant
SALES  & MARKETING - KUALA TERENGGANU,sales assistant
Direct Sales Person,sales assistant
SALES ASSISTANT - Parkson Subang Parade & Aeon Shah Alam ,sales assistant
marketing sales assistant,sales assistant
sales promoter,sales assistant
SALES EXECUTIVE (RAWANG-KOTA DAMANSARA),sales assistant
Sales Administrator ,sales assistant
Sales Representative ( Interns / Contract),sales assistant
SALES ASSISTANT - TPG,sales assistant
out door sales,sales assistant
Retail executive,sales assistant
Outlet Assistant ( Mid Valley Mega Mall),sales assistant
Sales Reception,sales assistant
Sales Assistant (Store Front & Online),sales assistant
SALES CLERK ,sales assistant
Promoter / Sales Offficer,sales assistant
Sales Assistant (Female Only) - IOI City Mall Putrajaya,sales assistant
"Van Sales (Spices, Herbs & Seasonings)",sales assistant
Sales Representative (Based at Batu Pahat),sales assistant
Sales Assistant / Pharmacist Assistant (PETALING STREET),sales assistant
Field Sales Support,sales assistant
Pembantu showroom / Showroom retail assistant - PJ,sales assistant
Sales and Customer Service,sales assistant
Retail Assistant @ The Mines,sales assistant
SALES PROMOTER,sales assistant
Sales  Assistant Manager ,sales assistant
PACKAGING STAFF,sales assistant
INSURANCE,sales assistant
Sales Executive ,sales assistant
Retail Team Member,sales assistant
 Sales Associate (Sunway Putra),sales assistant
Showroom Retail Sales Consultants,sales assistant
Boutique Assistant,sales assistant
PERSON IN CHARGE,sales assistant
Prudential Assurance Agent,sales assistant
Sales & Mareketing Executive,sales assistant
MARKETING  SALESMEN ,sales assistant
Sales Coordinator - Petaling Jaya,sales assistant
Luxury Client Advisor #MNS,sales assistant
Sales Assistant ,sales assistant
Product Advisor,sales assistant
SALES ASSISTANT/TRAINEE,sales assistant
Retail Associate (R&F Mall JB),sales assistant
Sales and Marketing Assistant,sales assistant
Retail Asst ( Bandar Puteri Puchong),sales assistant
Sales Consultant - One Utama,sales assistant
Sales Assistant - Sembulan Outlet,sales assistant
Staff Counter,sales assistant
Specifications Executive,sales assistant
Indoor sales / customer support,sales assistant
Sales Assistant/Executive,sales assistant
RETAIL SENIOR OPERATION ASSISTANT,sales assistant
Retail Consultant,sales assistant
Junior Sales Executive,sales assistant
SALE ADVISOR,sales assistant
Pharmacy Sales Assistant,sales assistant
SALES REPRESENTATIVE NEVGEL M'SIA SDN BHD,sales assistant
SALES EXECUTIVE OFFICER,sales assistant
HIRING FOR SALES MAN,sales assistant
Store Assistant Johor,sales assistant
Junior Sales Administrator ,sales assistant
Operation Administrator,sales assistant
SALES PERSON,sales assistant
Part time Sales Assistant,sales assistant
Retail Assistant @ Cheras Leisure Mall,sales assistant
Supervisor/ Senior Retail Consultant/Store Manager,sales assistant
Sales Representative (MELAKA),sales assistant
Sale Assistant (Fresh Department),sales assistant
Sales Consultant (101 Kuala Selangor),sales assistant
Sales Assistant - Sandakan Outlet,sales assistant
Sales Representative(Non Halal),sales assistant
Consultant (ID/Furniture),sales assistant
Partner Program and Development Lead - Korean speaking,sales assistant
SALES  & MARKETING - BINTULU,sales assistant
"ADMIN ASSISTANT (Seksyen 25, Shah Alam) ",sales assistant
Admin Sales Website & Shopee,sales assistant
Sales Assistant (Festive Season),sales assistant
Sales Advisor-Whole Malaysia ,sales assistant
SALES REPRESENTATIVE (MALES ONLY),sales assistant
Business Development Manager based in Kuala Lumpur,sales assistant
SALES ASSISTANT - TAMAN CONNAUGHT,sales assistant
Retail Assistant @ IOI City Mall,sales assistant
Sale Support  Executive ,sales assistant
Sales Admin,sales assistant
Sales Advisor - One Utama,sales assistant
Retail Assistant @ Tropicana Garden Mall,sales assistant
SALES EXECUTIVE/SALES OFFICER,sales assistant
Retail Management Trainee,sales assistant
Sales assistant,sales assistant
Junior Sales&Marketing Ambassador,sales assistant
Pharmacy Assistant for Setia Alam Branch,sales assistant
Online Sales Advisor - HQ (Kepong),sales assistant
SALES/MARKETING COORDINATOR (PENANG),sales assistant
SOFTLINE DEPARTMENT,sales assistant
Levi's Sales Assistant,sales assistant
Sales Admin Officer,sales assistant
Sales Executive (Outdoor),sales assistant
RETAIL ASSISTANT ,sales assistant
"Unifi Agent, Unifi Executive, Unifi Supervisor,Unifi Manager",sales assistant
"ADMIN COORDINATOR (Seksyen 25, Shah Alam) ",sales assistant
SALES ASSOCIATE (AEON TEBRAU),sales assistant
Retail Assistant @ Subang Courtyard,sales assistant
Retail Sales Associate (Mitsui KLIA Outlet),sales assistant
Sales Consultant (113 Kota Damansara),sales assistant
Sales Coordinator (JB Branch),sales assistant
SALE-TECHNICAL SUPPORT,sales assistant
Sales Executive | Automotive | Spare Parts,sales assistant
Sales Assistant (House Brand),sales assistant
Live Stream Host Cum Retails Assistant (JB),sales assistant
SALESMAN (USED CAR),sales assistant
Muar - VAN SALES ASSISTANT ( BUMI PREFERRED),sales assistant
Sales Associate (One Utama ),sales assistant
Sales Assistant (Seremban),sales assistant
bakery sale assistant,sales assistant
SALES  & MARKETING - KUANTAN,sales assistant
Ground Marketing Assistant,sales assistant
Online Sales & Marketing Assistant,sales assistant
RETAIL FASHION ASSOCIATE-EICHITOO ONE UTAMA,sales assistant
Sales Representative (for Selangorian ONLY),sales assistant
Sales Executive - Japanese Speaker,sales assistant
Outdoor Sales Promoter(Telco),sales assistant
Marketing Supervisor ,sales assistant
Admin/Sales clerk needed in laundry shop  Lrg Syed putra KL.,sales assistant
ONLINE SALES EXCECUTIVE,sales assistant
Assistant Branch Manager(Kedah),sales assistant
SALES REPRESENTATIVE ,sales assistant
Inside Sales,sales assistant
Apprenticeship  Management Trainee (Sales and marketing),sales assistant
sales & marketing,sales assistant
Nikorex Ipoh Sales Assistant,sales assistant
Sales Executive - BUSINESS DEVELOPMENT,sales assistant
Sales Marketeer,sales assistant
Retail Sales Agent,sales assistant
Front desk clerk/sales assistant wanted in TTDI Jaya s/alam,sales assistant
Supervisor(Selangor),sales assistant
STORE KEEPER - TAMAN CONNAUGHT,sales assistant
SALES & CUSTOMER SERVICE,sales assistant
Sales Supervisor at Parkson Kuching,sales assistant
PROMOTER @ QUILL MALL,sales assistant
Sales Assistant Cum Cashier,sales assistant
sales associates,sales assistant
VEGETABLE DEPARTMENT,sales assistant
RETAIL OPERATION,sales assistant
Retail Associate/Pembantu Jualan,sales assistant
Sales  & MarketingAssistant,sales assistant
Card Counter Clerk,sales assistant
Theme Park Operations Supervisor (Retail),sales assistant
Retail Sales Associate (Whole Malaysia),sales assistant
ONLINE SALES ASSISTANT,sales assistant
REGIONAL SUPERVISOR,sales assistant
Indoor Sales Advisor,sales assistant
SALES EXECUTIVE,sales assistant
Sales Executive  ,sales assistant
KOORDINATOR JUALAN (USHOP),sales assistant
Retail Operation ,sales assistant
INDOOR SALES ASSISTANT (SRI MANJUNG),sales assistant
Assistant Sales Manager - 3PL/Logistic,sales assistant
RETAIL MANAGEMENT TRAINEE,sales assistant
Sales Associates (Klang Valley),sales assistant
RETAIL FASHION ASSOCIATE-THE SPRING BINTULU,sales assistant
Sales Supervisor ,sales assistant
Store manager ,sales assistant
Sales  Junior Executive,sales assistant
OUTLET CREW MEMBER,sales assistant
Sales Associate(MyTOWN SHOPPINF CENTRE),sales assistant
Charles & Keith,sales assistant
SALES EXECUTIVE TELECOMUNICATION,sales assistant
Apprentice – Sales ,sales assistant
Optical Sale Assistant,sales assistant
furniture showroom sales assistant/jurujual,sales assistant
Sales Assistant cum Photo Editor,sales assistant
Sales Consultant - Uptown Damansara,sales assistant
STORE KEEPER - USJ 19,sales assistant
Customer Service Executive (Penang Outlet),sales assistant
Retail Sales Specialist (Northern),sales assistant
Sale Admin Kuala Kangsar,sales assistant
General staff (Sales Assistant),sales assistant
Wellness Advisor,sales assistant
Online Sales Assistant,sales assistant
SALE MARKETING CARWASH,sales assistant
TELE-SALES PROFESSIONAL (TSP),sales assistant
Sales Associate 29 mac,sales assistant
Receiption,sales assistant
MEMBERSHIP SALES CONSULTANT,sales assistant
RETAIL FASHION ASSOCIATE-Penang Design Village Outlet Mall,sales assistant
Sales Marketing Executive,sales assistant
JUNIOR SALES COORDINATOR,sales assistant
Sales & Service Executive,sales assistant
sales  assistant  ,sales assistant
Indoor Sales Executive ,sales assistant
Sales assistants,sales assistant
Sales Senior Executive,sales assistant
Sales Executive - In KL,sales assistant
Internship,sales assistant
SALES & SERVICE EXECUTIVE,sales assistant
JUNIOR SALES EXECUTIVE - FEMALE,sales assistant
Customer Service Assistant KK,sales assistant
admin cum sales assistant,sales assistant
sales marketing telekom fiber,sales assistant
CASHIER / STOREKEEPER,sales assistant
